Value,tc1,tc2,Country
5831.281022512688,,,All Countries
7450,,,All Countries
280.1873908239189,North America,,North America
4324.568633619735,Europe,,Europe
3946.0897447298166,Europe,European Union,Europe - European Union
750.0352467745454,Europe,Other EU,Europe - Other EU
3190.916896810225,Europe,EU15,Europe - EU15
1226.524998069034,Other countries,,Other countries
5071.372074023899,,,All Countries
5689.649918024445,,,All Countries
8018.324302902642,,,All Countries
7602.596162808499,,,All Countries
9025.529500458078,,,All Countries
8746.304561772247,,,All Countries
11532.915208424442,,,All Countries
9643.89619830552,,,All Countries
8654.781239710768,,,All Countries
5700.356879928724,,,All Countries
5053.611437258753,,,All Countries
6149.158707144046,,,All Countries
5537.55793211645,,,All Countries
6472.777420667277,,,All Countries
8406.458047220905,,,All Countries
8227.846873140958,,,All Countries
9125.36476257319,,,All Countries
8646.905240183913,,,All Countries
11627.657439731427,,,All Countries
9724.967870253724,,,All Countries
8434.26927736153,,,All Countries
5682.9021876901625,,,All Countries
5049.905976823658,,,All Countries
5419.321772602557,,,All Countries
5231.871561436594,,,All Countries
3239.3434490113586,,,All Countries
219.2520847864024,,,All Countries
275.1372260407373,,,All Countries
444.8094369377133,,,All Countries
1359.8024150023,,,All Countries
2759.1404098408,,,All Countries
2071.7535994395002,,,All Countries
1368.8280350343998,,,All Countries
658.6233971306999,,,All Countries
778.8298855942,,,All Countries
124.05175648532173,,,All Countries
292.36445146715624,,,All Countries
357.0092750475215,,,All Countries
259.84614716159956,,,All Countries
287.02537894215135,,,All Countries
453.37740489624855,,,All Countries
1431.9402711304276,,,All Countries
3043.557616525117,,,All Countries
3632.617093529147,,,All Countries
3262.7526459916426,,,All Countries
2832.9277778455457,,,All Countries
2867.6307105974,,,All Countries
2558.456817755075,,,All Countries
2985.3775572996915,,,All Countries
4033.946726834535,,,All Countries
6233.555816198451,,,All Countries
6374.0574301542665,,,All Countries
7815.137910231562,,,All Countries
7139.335162894174,,,All Countries
9361.1504979698,,,All Countries
8451.552541033343,,,All Countries
7417.986344853294,,,All Countries
4490.8082280327335,,,All Countries
4088.7353231739844,,,All Countries
16000,,,All Countries
70950,,,All Countries
70950,,,All Countries
7250,,,All Countries
7600,,,All Countries
7650,,,All Countries
7520,,,All Countries
7690,,,All Countries
7670,,,All Countries
7790,,,All Countries
7430,,,All Countries
7720,,,All Countries
7540,,,All Countries
7330,,,All Countries
7830,,,All Countries
7680,,,All Countries
8300,,,All Countries
8010,,,All Countries
8120,,,All Countries
7760,,,All Countries
7690,,,All Countries
7780,,,All Countries
7620,,,All Countries
7520,,,All Countries
7440,,,All Countries
7370,,,All Countries
7050,,,All Countries
7090,,,All Countries
5240,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
0,,,All Countries
306.9532931971211,North America,,North America
335.7319919123934,North America,,North America
515.9388604171628,North America,,North America
619.1081234918926,North America,,North America
434.0871321026007,North America,,North America
382.6221101657016,North America,,North America
706.089449434606,North America,,North America
704.9819483809972,North America,,North America
702.8989537160478,North America,,North America
339.0592787641705,North America,,North America
394.7635686173769,North America,,North America
434.8514555865816,North America,,North America
230.81036490589457,North America,,North America
204.1398077887444,North America,,North America
492.5850441326407,North America,,North America
564.6967400465334,North America,,North America
557.7374783510787,North America,,North America
491.17263037192873,North America,,North America
684.9832760909976,North America,,North America
648.9082183670049,North America,,North America
531.8441213121608,North America,,North America
344.51948478594187,North America,,North America
375.9792242682544,North America,,North America
339.7153496767159,North America,,North America
299.7590312275555,North America,,North America
203.6868410704588,North America,,North America
12.200887619546107,North America,,North America
13.160433736185803,North America,,North America
17.539940653026814,North America,,North America
16.87810137,North America,,North America
35.63134514,North America,,North America
29.685334311,North America,,North America
27.14673441,North America,,North America
22.34189827,North America,,North America
38.27815087,North America,,North America
2.46816519988163,North America,,North America
7.993675213291264,North America,,North America
9.771111586827118,North America,,North America
12.890859510294247,North America,,North America
11.476056867274222,North America,,North America
12.883682622431584,North America,,North America
38.83405797851471,North America,,North America
56.67669310861133,North America,,North America
55.55972900214417,North America,,North America
58.790723572107446,North America,,North America
136.2117436663172,North America,,North America
212.42685982367118,North America,,North America
161.2430761291394,North America,,North America
113.06134929415302,North America,,North America
185.96174815765914,North America,,North America
315.03952446927957,North America,,North America
373.290562147498,North America,,North America
307.16921880872616,North America,,North America
437.7147634781608,North America,,North America
569.713432638865,North America,,North America
417.9335903060332,North America,,North America
488.30703334798955,North America,,North America
230.08701039829558,North America,,North America
351.69140086976745,North America,,North America
1070,North America,,North America
3950,North America,,North America
3950,North America,,North America
3704.8345323387316,Europe,,Europe
4165.622824517005,Europe,,Europe
6078.356023872903,Europe,,Europe
5825.233144873889,Europe,,Europe
7648.468341495356,Europe,,Europe
7415.573112586743,Europe,,Europe
9366.077865517387,Europe,,Europe
7382.7266381832105,Europe,,Europe
6695.935868362389,Europe,,Europe
4116.854244509632,Europe,,Europe
3787.614632076846,Europe,,Europe
4206.8657844786385,Europe,,Europe
4210.342594642129,Europe,,Europe
5096.350937205022,Europe,,Europe
6252.06335900314,Europe,,Europe
6510.243867415863,Europe,,Europe
7535.839288624718,Europe,,Europe
7038.593677443078,Europe,,Europe
9345.731803312596,Europe,,Europe
7707.797056938662,Europe,,Europe
6684.57381381964,Europe,,Europe
4216.342545969421,Europe,,Europe
3666.159415956298,Europe,,Europe
3993.2940390814324,Europe,,Europe
3760.447814448083,Europe,,Europe
2211.83858774998,Europe,,Europe
145.02400643890257,Europe,,Europe
220.4596252706796,Europe,,Europe
379.081467789518,Europe,,Europe
1286.6996804,Europe,,Europe
2579.4039533,Europe,,Europe
1923.0148303,Europe,,Europe
1192.0466092,Europe,,Europe
490.26725469999997,Europe,,Europe
510.0432512,Europe,,Europe
73.41512686000965,Europe,,Europe
143.7781307331963,Europe,,Europe
178.76002440679082,Europe,,Europe
146.72497012040134,Europe,,Europe
216.61510478736756,Europe,,Europe
369.2296230922308,Europe,,Europe
1280.5629110901177,Europe,,Europe
2696.039419512003,Europe,,Europe
3280.761227977521,Europe,,Europe
2812.733735100366,Europe,,Europe
2276.605988738232,Europe,,Europe
2093.5303317644994,Europe,,Europe
1724.590395923376,Europe,,Europe
2311.5253001142682,Europe,,Europe
3052.8322413265932,Europe,,Europe
4796.148458699103,Europe,,Europe
5036.096256122089,Europe,,Europe
6631.503276996713,Europe,,Europe
5934.857649441555,Europe,,Europe
7496.653688442763,Europe,,Europe
6990.964039033216,Europe,,Europe
5990.128941465711,Europe,,Europe
3368.252935900889,Europe,,Europe
2762.759376993988,Europe,,Europe
12120,Europe,,Europe
56100,Europe,,Europe
56100,Europe,,Europe
3364.8630267535614,Europe,European Union,Europe - European Union
3911.1414280012004,Europe,European Union,Europe - European Union
5632.226496707873,Europe,European Union,Europe - European Union
5534.996301033566,Europe,European Union,Europe - European Union
7160.806546120463,Europe,European Union,Europe - European Union
6887.8327678295245,Europe,European Union,Europe - European Union
8929.638819649528,Europe,European Union,Europe - European Union
6850.0904871914645,Europe,European Union,Europe - European Union
6262.846469929502,Europe,European Union,Europe - European Union
3816.256783133677,Europe,European Union,Europe - European Union
3513.471412419715,Europe,European Union,Europe - European Union
3851.2624224297415,Europe,European Union,Europe - European Union
3816.0344742009574,Europe,European Union,Europe - European Union
4698.912209429443,Europe,European Union,Europe - European Union
5673.57131498982,Europe,European Union,Europe - European Union
6142.289759783593,Europe,European Union,Europe - European Union
7099.220602169799,Europe,European Union,Europe - European Union
6567.958732763438,Europe,European Union,Europe - European Union
8597.306476051477,Europe,European Union,Europe - European Union
7147.323241407862,Europe,European Union,Europe - European Union
6056.199178390015,Europe,European Union,Europe - European Union
3911.778398498632,Europe,European Union,Europe - European Union
3394.9018824159293,Europe,European Union,Europe - European Union
3696.744588816861,Europe,European Union,Europe - European Union
3466.032285062617,Europe,European Union,Europe - European Union
1957.0236897543152,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
0,Europe,European Union,Europe - European Union
58.74445445736873,Europe,European Union,Europe - European Union
118.1885055542001,Europe,European Union,Europe - European Union
142.09360898842883,Europe,European Union,Europe - European Union
120.57936151932199,Europe,European Union,Europe - European Union
193.77318533394273,Europe,European Union,Europe - European Union
333.8774941467359,Europe,European Union,Europe - European Union
1208.1626292899666,Europe,European Union,Europe - European Union
2527.1918261562514,Europe,European Union,Europe - European Union
3099.2223353700497,Europe,European Union,Europe - European Union
2592.587227311094,Europe,European Union,Europe - European Union
2062.158305608966,Europe,European Union,Europe - European Union
1946.6544021444727,Europe,European Union,Europe - European Union
1497.9286177902143,Europe,European Union,Europe - European Union
2053.022280340203,Europe,European Union,Europe - European Union
2778.991813959057,Europe,European Union,Europe - European Union
4414.742683837156,Europe,European Union,Europe - European Union
4641.3588416731845,Europe,European Union,Europe - European Union
6119.284592571488,Europe,European Union,Europe - European Union
5423.123898155981,Europe,European Union,Europe - European Union
6857.171891710602,Europe,European Union,Europe - European Union
6352.519029884341,Europe,European Union,Europe - European Union
5484.282102723588,Europe,European Union,Europe - European Union
3102.9079804583694,Europe,European Union,Europe - European Union
2578.767073136051,Europe,European Union,Europe - European Union
11170,Europe,European Union,Europe - European Union
51300,Europe,European Union,Europe - European Union
51300,Europe,European Union,Europe - European Union
496.1049582724145,Europe,Other EU,Europe - Other EU
524.9228361904585,Europe,Other EU,Europe - Other EU
767.7824728871175,Europe,Other EU,Europe - Other EU
761.1392005821558,Europe,Other EU,Europe - Other EU
968.4903140926467,Europe,Other EU,Europe - Other EU
1035.084035810449,Europe,Other EU,Europe - Other EU
1443.204017334513,Europe,Other EU,Europe - Other EU
876.9913755996788,Europe,Other EU,Europe - Other EU
785.7736389357287,Europe,Other EU,Europe - Other EU
640.6915372963033,Europe,Other EU,Europe - Other EU
512.2063963068234,Europe,Other EU,Europe - Other EU
855.2187449422607,Europe,Other EU,Europe - Other EU
584.515427944799,Europe,Other EU,Europe - Other EU
678.0786402796821,Europe,Other EU,Europe - Other EU
882.8275034988073,Europe,Other EU,Europe - Other EU
950.1921450181535,Europe,Other EU,Europe - Other EU
1083.7845623650892,Europe,Other EU,Europe - Other EU
1074.629279938596,Europe,Other EU,Europe - Other EU
1343.758010647838,Europe,Other EU,Europe - Other EU
1093.0846413415031,Europe,Other EU,Europe - Other EU
908.6680577046062,Europe,Other EU,Europe - Other EU
749.1143814105311,Europe,Other EU,Europe - Other EU
516.4663858687261,Europe,Other EU,Europe - Other EU
791.641354908287,Europe,Other EU,Europe - Other EU
581.7328027604425,Europe,Other EU,Europe - Other EU
284.1702151354063,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
0,Europe,Other EU,Europe - Other EU
23.475655651509364,Europe,Other EU,Europe - Other EU
65.22372092981047,Europe,Other EU,Europe - Other EU
62.45652441868018,Europe,Other EU,Europe - Other EU
57.13620663618857,Europe,Other EU,Europe - Other EU
76.08361859000829,Europe,Other EU,Europe - Other EU
106.04285777380301,Europe,Other EU,Europe - Other EU
253.88883620283582,Europe,Other EU,Europe - Other EU
621.6742047878647,Europe,Other EU,Europe - Other EU
732.4314513963521,Europe,Other EU,Europe - Other EU
400.3685498137048,Europe,Other EU,Europe - Other EU
367.5431978029157,Europe,Other EU,Europe - Other EU
308.4581089399845,Europe,Other EU,Europe - Other EU
298.21577055762873,Europe,Other EU,Europe - Other EU
359.1376178753435,Europe,Other EU,Europe - Other EU
379.6958940190613,Europe,Other EU,Europe - Other EU
665.7885871546621,Europe,Other EU,Europe - Other EU
660.269338845349,Europe,Other EU,Europe - Other EU
795.8515283219114,Europe,Other EU,Europe - Other EU
800.7213971176692,Europe,Other EU,Europe - Other EU
1048.7669223890437,Europe,Other EU,Europe - Other EU
955.5556600757029,Europe,Other EU,Europe - Other EU
788.8124822563948,Europe,Other EU,Europe - Other EU
520.2324771485808,Europe,Other EU,Europe - Other EU
399.87252296456904,Europe,Other EU,Europe - Other EU
1710,Europe,Other EU,Europe - Other EU
7670,Europe,Other EU,Europe - Other EU
7670,Europe,Other EU,Europe - Other EU
2870.168372849392,Europe,EU15,Europe - EU15
3389.9458885875365,Europe,EU15,Europe - EU15
4864.441054069019,Europe,EU15,Europe - EU15
4773.793701792986,Europe,EU15,Europe - EU15
6192.3826004379725,Europe,EU15,Europe - EU15
5852.751303241683,Europe,EU15,Europe - EU15
7486.4548951135785,Europe,EU15,Europe - EU15
5973.07644757063,Europe,EU15,Europe - EU15
5469.023003719067,Europe,EU15,Europe - EU15
3182.7844959530585,Europe,EU15,Europe - EU15
3002.0955932718825,Europe,EU15,Europe - EU15
2998.9331445653497,Europe,EU15,Europe - EU15
3230.4998983070454,Europe,EU15,Europe - EU15
4018.963250021003,Europe,EU15,Europe - EU15
4790.891401381712,Europe,EU15,Europe - EU15
5192.153781046257,Europe,EU15,Europe - EU15
6015.232283633185,Europe,EU15,Europe - EU15
5492.193034167073,Europe,EU15,Europe - EU15
7253.805036042994,Europe,EU15,Europe - EU15
6055.118448084731,Europe,EU15,Europe - EU15
5143.089096839735,Europe,EU15,Europe - EU15
3169.185170859206,Europe,EU15,Europe - EU15
2876.3563666217588,Europe,EU15,Europe - EU15
2906.6833432687154,Europe,EU15,Europe - EU15
2883.663129894775,Europe,EU15,Europe - EU15
1671.9097176661992,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
0,Europe,EU15,Europe - EU15
35.06376728982452,Europe,EU15,Europe - EU15
53.3988553399312,Europe,EU15,Europe - EU15
79.4080453702439,Europe,EU15,Europe - EU15
63.81102529579257,Europe,EU15,Europe - EU15
117.82243053843341,Europe,EU15,Europe - EU15
227.33390216577644,Europe,EU15,Europe - EU15
954.2737930871292,Europe,EU15,Europe - EU15
1905.5176213683837,Europe,EU15,Europe - EU15
2366.790883973694,Europe,EU15,Europe - EU15
2192.218677497404,Europe,EU15,Europe - EU15
1694.6151078060627,Europe,EU15,Europe - EU15
1638.1962932044994,Europe,EU15,Europe - EU15
1198.2727408359171,Europe,EU15,Europe - EU15
1693.2632530935966,Europe,EU15,Europe - EU15
2401.357435707944,Europe,EU15,Europe - EU15
3747.3336133648954,Europe,EU15,Europe - EU15
3980.7123027053376,Europe,EU15,Europe - EU15
5325.430747689705,Europe,EU15,Europe - EU15
4622.663671950398,Europe,EU15,Europe - EU15
5808.130933486644,Europe,EU15,Europe - EU15
5396.976234731427,Europe,EU15,Europe - EU15
4697.462851872835,Europe,EU15,Europe - EU15
2580.887335939972,Europe,EU15,Europe - EU15
2178.6894861356254,Europe,EU15,Europe - EU15
9460,Europe,EU15,Europe - EU15
43630,Europe,EU15,Europe - EU15
43630,Europe,EU15,Europe - EU15
1059.584248488046,Other countries,,Other countries
1188.2951015950462,Other countries,,Other countries
1424.0294186125757,Other countries,,Other countries
1158.2548944427167,Other countries,,Other countries
942.9740268601215,Other countries,,Other countries
948.1093390198018,Other countries,,Other countries
1460.7478934724468,Other countries,,Other countries
1556.1876117413126,Other countries,,Other countries
1255.946417632332,Other countries,,Other countries
1244.4433566549212,Other countries,,Other countries
871.2332365645296,Other countries,,Other countries
1507.441467078826,Other countries,,Other countries
1096.4049725684256,Other countries,,Other countries
1172.2866756735107,Other countries,,Other countries
1661.8096440851239,Other countries,,Other countries
1152.9062656785604,Other countries,,Other countries
1031.7879955973956,Other countries,,Other countries
1117.1389323689054,Other countries,,Other countries
1596.9423603278335,Other countries,,Other countries
1368.2625949480575,Other countries,,Other countries
1217.851342229731,Other countries,,Other countries
1122.0401569348,Other countries,,Other countries
1007.7673365991066,Other countries,,Other countries
1086.3123838444092,Other countries,,Other countries
1171.6647157609555,Other countries,,Other countries
823.8180201909202,Other countries,,Other countries
62.02719072795372,Other countries,,Other countries
41.51716703387191,Other countries,,Other countries
48.1880284951685,Other countries,,Other countries
56.224633232300015,Other countries,,Other countries
144.10511140080004,Other countries,,Other countries
119.05343482850003,Other countries,,Other countries
149.63469142440002,Other countries,,Other countries
146.0142441607,Other countries,,Other countries
230.50848352420005,Other countries,,Other countries
48.168464425430464,Other countries,,Other countries
140.5926455206687,Other countries,,Other countries
168.47813905390356,Other countries,,Other countries
100.23031753090396,Other countries,,Other countries
58.934217287509554,Other countries,,Other countries
71.26409918158619,Other countries,,Other countries
112.5433020617951,Other countries,,Other countries
290.8415039045024,Other countries,,Other countries
296.2961365494819,Other countries,,Other countries
391.228187319169,Other countries,,Other countries
420.1100454409966,Other countries,,Other countries
561.6735190092294,Other countries,,Other countries
672.6233457025597,Other countries,,Other countries
560.7909078912703,Other countries,,Other countries
795.1527373502826,Other countries,,Other countries
1122.367833030068,Other countries,,Other countries
964.6706118846795,Other countries,,Other countries
876.4654144261226,Other countries,,Other countries
766.7627499744584,Other countries,,Other countries
1294.7833768881721,Other countries,,Other countries
1042.654911694095,Other countries,,Other countries
939.5503700395926,Other countries,,Other countries
892.4682817335489,Other countries,,Other countries
974.2845453102291,Other countries,,Other countries
2810,Other countries,,Other countries
10900,Other countries,,Other countries
10900,Other countries,,Other countries
